imdbID,isAdult,movie_name,movie_date,box_office,runtime,language,countries,genres,author_book,year_book,rating,numVotes
tt0000679,0,thefairylogueandradio-plays,1908,,120.0,English Language,United States of America,"Silent film, Black-and-white",L. Frank Baum,1900,5.2,76
tt0002646,0,atlantis,1913,,113.0,"English Language, Danish Language",Denmark,"Silent film, Drama, Indie, Black-and-white",Gerhart Hauptmann,1912,6.5,500
tt0003022,0,ivanhoe,1913,,,"Silent film, English Language",United States of America,"Swashbuckler films, Silent film, Drama, Adventure",Sir Walter Scott,1820,5.6,97
tt0004099,0,"hismajesty,thescarecrowofoz",1914,,60.0,English Language,United States of America,"Silent film, Adventure, Children's/Family, Black-and-white, Fantasy, Children's Fantasy, Drama, Family Film, Comedy, Family-Oriented Adventure, Indie",L. Frank Baum,1900,5.3,533
tt0004182,0,thejungle,1914,,,"Silent film, English Language",,Silent film,Upton Sinclair,1906,6.8,70
tt0004457,0,thepatchworkgirlofoz,1914,,81.0,"Silent film, English Language",United States of America,"Silent film, Adventure, Children's/Family, Black-and-white, Fantasy, Children's Fantasy, Indie",L. Frank Baum,1900,5.4,583
tt0004630,0,thespoilers,1914,,110.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie",Rex Beach,1906,5.9,112
tt0004766,0,thevirginian,1914,,50.0,"Silent film, English Language",United States of America,"Silent film, Western, Indie, Black-and-white",Owen Wister,1902,5.6,262
tt0004897,0,annakarenina,1915,,,"Silent film, English Language",United States of America,"Silent film, Drama, Black-and-white",Leo Tolstoy,1873–1887,4.0,24
tt0004972,0,thebirthofanation,1915,50000000.0,190.0,"Silent film, English Language",United States of America,"Silent film, Indie, Costume drama, Epic, Black-and-white, Drama, War film", Jr.,1905,6.1,26837
tt0005049,0,camille,1915,,,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white", fils,1848,6.5,23
tt0005353,0,fourfeathers,1915,,,English Language,United States of America,Drama,A. E. W. Mason,1902,7.1,44
tt0005733,0,mcteague,1916,,,,,Silent film,Frank Norris,1899,6.6,22
tt0006333,0,"20,000leaguesunderthesea",1916,,101.0,English Language,United States of America,"Science Fiction, Adventure, Silent film, Black-and-white, Action/Adventure, Drama, Action",Jules Verne,1870,6.1,2058
tt0006664,0,thefallofanation,1916,,,,United States of America,Silent film, Jr.,1905,5.2,108
tt0007142,0,olivertwist,1916,,50.0,English Language,United States of America,"Silent film, Drama",Charles Dickens,1837–1839,6.9,38
tt0007338,0,sherlockholmes,1916,,,English Language,United States of America,"Short Film, Silent film, Detective fiction, Indie, Black-and-white",Arthur Conan Doyle,1891–1892,6.2,490
tt0007453,0,thethreegodfathers,1916,,,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white, Short Film, Western, Drama",Peter B. Kyne,1913,7.3,54
tt0007769,0,camille,1917,,60.0,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white", fils,1848,6.0,23
tt0007839,0,thedarlingofparis,1917,,,"Silent film, English Language",United States of America,"Drama, Silent film, Horror, Romance Film, Black-and-white",Victor Hugo,1482,4.3,21
tt0008029,0,greatexpectations,1917,,50.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white",Charles Dickens,1860–1861,6.5,41
tt0008159,0,kidnapped,1917,,,,United States of America,"Silent film, Adventure",Robert Louis Stevenson,1886,6.8,60
tt0008565,0,she,1917,,,English Language,United States of America,"Drama, Silent film, Fantasy",H. Rider Haggard,1886,6.9,25
tt0008686,0,tomjones,1917,,,English Language,United Kingdom,Comedy film,Henry Fielding,1749,8.8,11
tt0008687,0,tomsawyer,1917,,,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white",Mark Twain,1876,6.1,199
tt0009560,0,theromanceoftarzan,1918,,96.0,English Language,United States of America,"Jungle Film, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,6.3,61
tt0009682,0,tarzanoftheapes,1918,,73.0,English Language,United States of America,"Silent film, Action, Indie, Black-and-white, Adventure",Edgar Rice Burroughs,1912–1965,5.8,955
tt0009879,0,anneofgreengables,1919,,,Silent film,United States of America,"Silent film, Indie, Black-and-white",Lucy Maud Montgomery,1909,7.0,84
tt0009950,0,bolshevismontrial,1919,,70.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white, Political drama", Jr.,1909,5.3,65
tt0010438,0,markedmen,1919,,50.0,"Silent film, English Language",United States of America,"Silent film, Western, Black-and-white, Indie",Peter B. Kyne,1913,4.7,80
tt0010844,0,victory,1919,,122.0,"Silent film, English Language",United States of America,"Silent film, Drama, Romance Film, Black-and-white",Joseph Conrad,1915,6.4,474
tt0011001,0,bleakhouse,1920,,,English Language,United Kingdom,"Crime Fiction, Silent film, Drama",Charles Dickens,1852–1853,6.4,23
tt0011149,0,theelusivepimpernel,1919,,,,United Kingdom,"Silent film, Drama, Adventure",Baroness Orczy,1908,1.7,13
tt0011309,0,thehoundofthebaskervilles,1921,,,,,"Crime Fiction, Mystery, Horror",Arthur Conan Doyle,1901,4.2,50
tt0011387,0,thelastofthemohicans,1920,,39.0,English Language,United States of America,"Action/Adventure, Silent film, Indie, Black-and-white, Short Film, Drama, War film",James Fenimore Cooper,1826,6.7,1478
tt0011588,0,pollyanna,1920,,58.0,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white, Drama, Comedy, Family Film",Eleanor H. Porter,1913,6.4,526
tt0011624,0,therevengeoftarzan,1920,,90.0,English Language,United States of America,"Silent film, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,5.4,70
tt0011717,0,thesonoftarzan,1920,,241.0,English Language,United States of America,"Silent film, Adventure, Jungle Film, Black-and-white, Action/Adventure, Drama, Action",Edgar Rice Burroughs,1912–1965,5.3,142
tt0011785,0,treasureisland,1920,,76.0,"Silent film, English Language",United States of America,"Silent film, Black-and-white",Robert Louis Stevenson,1883,7.0,60
tt0011906,0,action,1921,,50.0,"Silent film, English Language",United States of America,"Silent film, Western, Indie, Black-and-white",Peter B. Kyne,1913,4.8,61
tt0012027,0,camille,1921,,70.0,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white", fils,1848,6.5,1083
tt0012067,0,aconnecticutyankeeinkingarthur'scourt,1921,,74.0,Silent film,United States of America,"Silent film, Family Film, Animation",Mark Twain,1889,6.8,50
tt0012091,0,danielderonda,1921,,,,United Kingdom,"Romance Film, Drama, Silent film",George Eliot,1876,6.3,13
tt0012189,0,thefourfeathers,1921,,,English Language,United Kingdom,"Romance Film, Drama, Adventure, War film",A. E. W. Mason,1902,3.6,28
tt0012752,0,thethreemusketeers,1921,,112.0,"Silent film, English Language",United States of America,"Swashbuckler films, Silent film, Indie, Costume drama, Epic, Black-and-white, Action/Adventure, Drama, Film adaptation, Action",Peter B. Kyne,1913,6.9,1180
tt0012881,0,theadventuresofrobinsoncrusoe,1922,,,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white, Adventure",Daniel Defoe,1719,6.3,31
tt0012952,0,bloodandsand,1922,,78.0,"Silent film, English Language",United States of America,"Romance Film, Silent film, Drama, Indie, Black-and-white",Vicente Blasco Ibáñez,1909,6.3,1571
tt0013110,0,fairlady,1922,,,"Silent film, English Language",United States of America,Silent film,Rex Beach,1912,5.2,24
tt0013402,0,montecristo,1922,,,,,"Romance Film, Drama", père,1844–1846,6.8,446
tt0013450,0,olivertwist,1922,,104.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white",Charles Dickens,1837–1839,6.6,957
tt0013515,0,theprisonerofzenda,1922,,113.0,English Language,United States of America,"Swashbuckler films, Silent film, Black-and-white",Anthony Hope,1894,6.7,566
tt0013597,0,sherlockholmes,1922,,85.0,English Language,United States of America,"Thriller, Detective fiction, Silent film, Mystery, Drama, Crime Thriller",Arthur Conan Doyle,1891–1892,5.7,756
tt0013802,0,theyoungrajah,1922,,,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white",John Ames Mitchell,1895,6.1,424
tt0013824,0,allthebrotherswerevaliant,1923,,101.0,Silent film,,Silent film,Ben Ames Williams,1919,6.9,35
tt0014007,0,thedrumsofjeopardy,1923,,70.0,,United States of America,Mystery,Harold MacGrath,1920,6.8,11
tt0014021,0,enemiesofwomen,1923,,105.0,"Silent film, English Language",United States of America,"Romance Film, Silent film, Drama, Indie, Black-and-white",Vicente Blasco Ibáñez,1922,4.9,48
tt0014045,0,flamingyouth,1923,,,Silent film,,Silent film,Samuel Hopkins Adams,1921,7.1,109
tt0014142,0,thehunchbackofnotredame,1923,,133.0,English Language,United States of America,"Costume drama, Silent film, Drama, Black-and-white, Film adaptation",Victor Hugo,1482,7.2,6311
tt0014503,0,thespoilers,1923,,80.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie",Rex Beach,1906,7.2,15
tt0014553,0,tothelastman,1923,,70.0,English Language,United States of America,"Silent film, Drama, Western, Black-and-white, Indie",Zane Grey,1921,5.1,46
tt0014572,0,vanityfair,1923,,,"Silent film, English Language",,Silent film,William Makepeace Thackeray,1847–1848,7.4,18
tt0014582,0,thevirginian,1923,,,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white",Owen Wister,1902,6.2,67
tt0014646,0,aelita,1924,,104.0,"Silent film, Russian Language","Soviet Union, Russia","Science Fiction, Indie, World cinema, Silent film, Black-and-white, Drama, Fantasy, Romance Film, Adventure",Alexei Tolstoy,1923,6.4,2965
tt0015224,0,peterpan,1924,,105.0,English Language,United States of America,"Silent film, Fantasy, Black-and-white",J. M. Barrie,1911,7.1,1326
tt0015310,0,theseahawk,1924,,123.0,"Silent film, English Language",United States of America,"Swashbuckler films, Silent film, Black-and-white",Rafael Sabatini,1915,7.1,665
tt0015394,0,tessofthed'urbervilles,1924,,80.0,"Silent film, English Language",United States of America,"Silent film, Drama, Black-and-white",Thomas Hardy,1891,4.3,23
tt0015400,0,thethiefofbagdad,1924,,139.0,"Silent film, English Language",United States of America,"Swashbuckler films, Silent film, Indie, Costume drama, Black-and-white, Action/Adventure, Fantasy, Drama, Family Film, Romance Film, Adventure",,,7.7,7170
tt0015467,0,wandererofthewasteland,1924,,60.0,"Silent film, English Language",United States of America,"Western, Silent film, Indie",Zane Grey,1923,8.0,18
tt0015542,0,adventure,1925,,70.0,English Language,United States of America,"Silent film, Indie, Black-and-white",Jack London,1911,4.8,45
tt0015881,0,greed,1924,274827.0,246.0,"Silent film, English Language",United States of America,"Silent film, Drama, Black-and-white",Frank Norris,1899,8.0,11035
tt0015930,0,thehousewithoutakey,1926,,,"Silent film, English Language",United States of America,"Mystery, Silent film, Black-and-white",Earl Derr Biggers,1925,5.7,48
tt0016037,0,lordjim,1925,,70.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white",Joseph Conrad,1899–1900,5.3,53
tt0016039,0,thelostworld,1925,,93.0,Silent film,United States of America,"Thriller, Science Fiction, Horror, Adventure, Silent film, Fantasy",Arthur Conan Doyle,1912,6.9,5994
tt0016112,0,lesmisérables,1925,,359.0,Silent film,France,"Silent film, Black-and-white",Victor Hugo,1862,7.3,96
