,fiction_work,film_adaptations,title_book,author_book,year_book,title_film,year_film
30,"Adventures of Huckleberry Finn(1884),Mark Twain",The Adventures of Huckleberry Finn(1960),Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1960
31,"Adventures of Huckleberry Finn(1884),Mark Twain",Huckleberry Finn(1974),Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1974
32,"Adventures of Huckleberry Finn(1884),Mark Twain",Hopelessly Lost(1972),Adventures of Huckleberry Finn,Mark Twain,1884,Hopelessly Lost,1972
33,"Adventures of Huckleberry Finn(1884),Mark Twain",Huckleberry Finn(1975)[N 1],Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1975
34,"Adventures of Huckleberry Finn(1884),Mark Twain",The Adventures of Huckleberry Finn(1981)[N 1],Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1981
35,"Adventures of Huckleberry Finn(1884),Mark Twain",Adventures of Huckleberry Finn(1985),Adventures of Huckleberry Finn,Mark Twain,1884,Adventures of Huckleberry Finn,1985
36,"Adventures of Huckleberry Finn(1884),Mark Twain",The Adventures of Huck Finn(1993),Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huck Finn,1993
37,"Adventures of Huckleberry Finn(1884),Mark Twain",Tom and Huck(1995),Adventures of Huckleberry Finn,Mark Twain,1884,Tom and Huck,1995
38,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(1911),The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1911
39,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(1936)[N 2],The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1936
40,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(1940),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1940
41,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(Italian:Le avventure di Pinocchio(1947),The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1947
42,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(1957)[N 1],The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1957
43,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio in Outer Space(1965),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio in Outer Space,1965
44,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(German:Turlis Abenteuer) (1967),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1967
45,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(1968)[N 1],The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1968
46,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(Italian:Un burattino di nome Pinocchio) (1972),The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1972
47,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(1976)[N 1],The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1976
48,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio's Christmas(1980)[N 1],The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio's Christmas,1980
49,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(1984),The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1984
50,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio and the Emperor of the Night(1987),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio and the Emperor of the Night,1987
51,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(1993),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1993
52,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The Adventures of Pinocchio(1996),The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1996
53,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",The New Adventures of Pinocchio(1999),The Adventures of Pinocchio,Carlo Collodi,1883,The New Adventures of Pinocchio,1999
54,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi","Pinocchio, ovvero lo spettacolo della Provvidenza(1999)[N 1]",The Adventures of Pinocchio,Carlo Collodi,1883,"Pinocchio, ovvero lo spettacolo della Provvidenza",1999
55,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Geppetto(2000)[N 1],The Adventures of Pinocchio,Carlo Collodi,1883,Geppetto,2000
56,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(2002),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2002
57,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio 3000(2004),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio 3000,2004
58,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Welcome Back Pinocchio(Italian:Bentornato Pinocchio) (2007),The Adventures of Pinocchio,Carlo Collodi,1883,Welcome Back Pinocchio,2007
59,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(2008),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2008
60,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pistachio – The Little Boy That Woodn't(2010),The Adventures of Pinocchio,Carlo Collodi,1883,Pistachio – The Little Boy That Woodn't,2010
61,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(2012),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2012
62,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(2019),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2019
63,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio: A True Story(2022),The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio: A True Story,2022
64,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Pinocchio(2022)[N 3],The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2022
65,"The Adventures of Pinocchio(Italian:Le avventure di Pinocchio. Storia di un burattino) (1883),Carlo Collodi",Guillermo del Toro's Pinocchio(2022),The Adventures of Pinocchio,Carlo Collodi,1883,Guillermo del Toro's Pinocchio,2022
66,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",Sherlock Holmes(1916),The Adventures of Sherlock Holmes,Arthur Conan Doyle,,Sherlock Holmes,1916
67,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",Sherlock Holmes(1922),The Adventures of Sherlock Holmes,Arthur Conan Doyle,,Sherlock Holmes,1922
68,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",The Speckled Band(1931),The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Speckled Band,1931
69,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",The Adventures of Sherlock Holmes(1939),The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Adventures of Sherlock Holmes,1939
70,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",The House of Fear(1945),The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The House of Fear,1945
71,"The Adventures of Sherlock Holmes(serialised 1891–1892, published as a book 1892),Arthur Conan Doyle",The Blue Carbuncle(Russian:Голубой карбункул) (1980)[N 1],The Adventures of Sherlock Holmes,Arthur Conan Doyle,,The Blue Carbuncle,1980
72,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1917),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1917
73,"The Adventures of Tom Sawyer(1876),Mark Twain",Huck and Tom(1918),The Adventures of Tom Sawyer,Mark Twain,1876,Huck and Tom,1918
74,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1930),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1930
75,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1936),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1936
76,"The Adventures of Tom Sawyer(1876),Mark Twain",The Adventures of Tom Sawyer(1938),The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Tom Sawyer,1938
77,"The Adventures of Tom Sawyer(1876),Mark Twain","Tom Sawyer, Detective(1938)",The Adventures of Tom Sawyer,Mark Twain,1876,"Tom Sawyer, Detective",1938
78,"The Adventures of Tom Sawyer(1876),Mark Twain",The Adventures of Mark Twain(1944),The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1944
79,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1973),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
80,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1973)[N 1],The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
81,"The Adventures of Tom Sawyer(1876),Mark Twain",Páni kluci(1976),The Adventures of Tom Sawyer,Mark Twain,1876,Páni kluci,1976
82,"The Adventures of Tom Sawyer(1876),Mark Twain",Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huckleberry Finn(1982)[N 1],The Adventures of Tom Sawyer,Mark Twain,1876,Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huckleberry Finn,1982
83,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(1984),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1984
84,"The Adventures of Tom Sawyer(1876),Mark Twain",The Adventures of Mark Twain(1986),The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1986
85,"The Adventures of Tom Sawyer(1876),Mark Twain",Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn(1990)[N 1],The Adventures of Tom Sawyer,Mark Twain,1876,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990
86,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom and Huck(1995),The Adventures of Tom Sawyer,Mark Twain,1876,Tom and Huck,1995
87,"The Adventures of Tom Sawyer(1876),Mark Twain",The Animated Adventures of Tom Sawyer(1998)[N 1],The Adventures of Tom Sawyer,Mark Twain,1876,The Animated Adventures of Tom Sawyer,1998
88,"The Adventures of Tom Sawyer(1876),Mark Twain",The Modern Adventures of Tom Sawyer(1998),The Adventures of Tom Sawyer,Mark Twain,1876,The Modern Adventures of Tom Sawyer,1998
89,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer(2000),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,2000
90,"The Adventures of Tom Sawyer(1876),Mark Twain",Tom Sawyer & Huckleberry Finn(2014),The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer & Huckleberry Finn,2014
91,"The Adventures of Tom Sawyer(1876),Mark Twain",Band of Robbers(2015),The Adventures of Tom Sawyer,Mark Twain,1876,Band of Robbers,2015
92,"Advise and Consent(1959),Allen Drury",Advise & Consent(1962),Advise and Consent,Allen Drury,1959,Advise & Consent,1962
93,"Aelita(1923) (a. k. a.Aelita or, The Decline of Mars),Alexei Tolstoy",Aelita(1924),Aelita,Alexei Tolstoy,1923,Aelita,1924
94,"The African Queen(1935),C. S. Forester",The African Queen(1951),The African Queen,C. S. Forester,1935,The African Queen,1951
95,"After(2017),Anna Todd",After(2019),After,Anna Todd,2017,After,2019
96,"After Dark, My Sweet(1955),Jim Thompson","After Dark, My Sweet(1990)","After Dark, My Sweet",Jim Thompson,1955,"After Dark, My Sweet",1990
97,"After Hours(1979),Edwin Torres",Carlito's Way(1993),After Hours,Edwin Torres,1979,Carlito's Way,1993
98,"After the Funeral(1953),Agatha Christie",Murder at the Gallop(1963),After the Funeral,Agatha Christie,1953,Murder at the Gallop,1963
99,"The Age of Innocence(1921),Edith Wharton",The Age of Innocence(1924),The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1924
100,"The Age of Innocence(1921),Edith Wharton",The Age of Innocence(1928),The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1928
101,"The Age of Innocence(1921),Edith Wharton",The Age of Innocence(1934),The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1934
102,"The Age of Innocence(1921),Edith Wharton",The Age of Innocence(1993),The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1993
103,"The Agony and the Ecstasy(1961),Irving Stone",The Agony and the Ecstasy(1965),The Agony and the Ecstasy,Irving Stone,1961,The Agony and the Ecstasy,1965
104,"Aimez-vous Brahms?(1959),Françoise Sagan",Goodbye Again(1961),Aimez-vous Brahms?,Françoise Sagan,1959,Goodbye Again,1961
105,"Aimez-vous Brahms?(1959),Françoise Sagan",Jahan Tum Le Chalo(1999),Aimez-vous Brahms?,Françoise Sagan,1959,Jahan Tum Le Chalo,1999
106,"Airborn(2004),Kenneth Oppel",Airborn(2012),Airborn,Kenneth Oppel,2004,Airborn,2012
107,"Airport(1968),Arthur Hailey",Airport(1970),Airport,Arthur Hailey,1968,Airport,1970
108,"Airport(1968),Arthur Hailey",Airport 1975(1975),Airport,Arthur Hailey,1968,Airport 1975,1975
109,"Airport(1968),Arthur Hailey",Airport '77(1977),Airport,Arthur Hailey,1968,Airport '77,1977
110,"Airport(1968),Arthur Hailey",The Concorde ... Airport '79(1979),Airport,Arthur Hailey,1968,The Concorde ... Airport '79,1979
111,"Alice Adams(1921),Booth Tarkington",Alice Adams(1923),Alice Adams,Booth Tarkington,1921,Alice Adams,1923
112,"Alice Adams(1921),Booth Tarkington",Alice Adams(1935),Alice Adams,Booth Tarkington,1921,Alice Adams,1935
113,"Allan Quatermain(1887), Sir H. Rider Haggard",Allan Quatermain and the Lost City of Gold(1987),Allan Quatermain, Sir H. Rider Haggard,1887,Allan Quatermain and the Lost City of Gold,1987
114,"All Fall Down(1960),James Leo Herlihy",All Fall Down(1962),All Fall Down,James Leo Herlihy,1960,All Fall Down,1962
115,"All Men Are Mortal(French:Tous les hommes sont mortels) (1946),Simone de Beauvoir",All Men Are Mortal(1995),All Men Are Mortal,Simone de Beauvoir,1946,All Men Are Mortal,1995
116,"All the Brothers Were Valiant(1919),Ben Ames Williams",All the Brothers Were Valiant(1923),All the Brothers Were Valiant,Ben Ames Williams,1919,All the Brothers Were Valiant,1923
117,"All the Brothers Were Valiant(1919),Ben Ames Williams",Across to Singapore(1928),All the Brothers Were Valiant,Ben Ames Williams,1919,Across to Singapore,1928
118,"All the Brothers Were Valiant(1919),Ben Ames Williams",All the Brothers Were Valiant(1953),All the Brothers Were Valiant,Ben Ames Williams,1919,All the Brothers Were Valiant,1953
119,"All the King's Men(1946),Robert Penn Warren",All the King's Men(1949),All the King's Men,Robert Penn Warren,1946,All the King's Men,1949
120,"All the King's Men(1946),Robert Penn Warren",All the King's Men(2006),All the King's Men,Robert Penn Warren,1946,All the King's Men,2006
121,"All Quiet on the Western Front(German:Im Westen nichts Neues) (1929),Erich Maria Remarque",All Quiet on the Western Front(1930),All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,1930
122,"All Quiet on the Western Front(German:Im Westen nichts Neues) (1929),Erich Maria Remarque",The Road Back(1937),All Quiet on the Western Front,Erich Maria Remarque,1929,The Road Back,1937
123,"All Quiet on the Western Front(German:Im Westen nichts Neues) (1929),Erich Maria Remarque",All Quiet on the Western Front(1979)[N 1],All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,1979
124,"All Quiet on the Western Front(German:Im Westen nichts Neues) (1929),Erich Maria Remarque",All Quiet on the Western Front(2022),All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,2022
125,"All She Was Worth(火車,Kasha)(1992),Miyuki Miyabe",Kasha: Kâdo hasan no onna!(1994)[N 1],All She Was Worth,Miyuki Miyabe,1992,Kasha: Kâdo hasan no onna!,1994
126,"All She Was Worth(火車,Kasha)(1992),Miyuki Miyabe",Helpless(Korean:화차;RR:Hwa-cha) (2012),All She Was Worth,Miyuki Miyabe,1992,Helpless,2012
127,"All the Pretty Horses(1992),Cormac McCarthy",All the Pretty Horses(2000),All the Pretty Horses,Cormac McCarthy,1992,All the Pretty Horses,2000
128,"All the Way(2001), Andy Behrens",Sex Drive(2008),All the Way, Andy Behrens,2001,Sex Drive,2008
129,"All You Need Is Kill(2009),Hiroshi Sakurazaka",Edge of Tomorrow(2014),All You Need Is Kill,Hiroshi Sakurazaka,2009,Edge of Tomorrow,2014
130,"Almayer's Folly(1895),Joseph Conrad",Hanyut(2011),Almayer's Folly,Joseph Conrad,1895,Hanyut,2011
131,"Almayer's Folly(1895),Joseph Conrad",Almayer's Folly(2011),Almayer's Folly,Joseph Conrad,1895,Almayer's Folly,2011
132,"Almost Transparent Blue(限りなく透明に近いブルー,Kagirinaku Tōmei ni Chikai Burū)(1976),Ryū Murakami",Almost Transparent Blue(1979),Almost Transparent Blue,Ryū Murakami,1976,Almost Transparent Blue,1979
133,"Along Came a Spider(1993),James Patterson",Along Came a Spider(2001),Along Came a Spider,James Patterson,1993,Along Came a Spider,2001
134,"Altered States(1978),Paddy Chayefsky",Altered States(1980),Altered States,Paddy Chayefsky,1978,Altered States,1980
135,"Always Another Dawn(1948),Zelma Roberts",Always Another Dawn(1948),Always Another Dawn,Zelma Roberts,1948,Always Another Dawn,1948
136,"Always Outnumbered, Always Outgunned(1987),Walter Mosley",Always Outnumbered(1998)[N 1],"Always Outnumbered, Always Outgunned",Walter Mosley,1987,Always Outnumbered,1998
137,"The Alzheimer Case(Dutch:De zaak Alzheimer) (2000),Jef Geeraerts",The Alzheimer Case(2003),The Alzheimer Case,Jef Geeraerts,2000,The Alzheimer Case,2003
138,"The Alzheimer Case(Dutch:De zaak Alzheimer) (2000),Jef Geeraerts",Memory(2022),The Alzheimer Case,Jef Geeraerts,2000,Memory,2022
139,"The Amateur(Spanish:El Amateur) (1990),Mauricio Dayub",The Amateur(Spanish:El Amateur) (1999),The Amateur,Mauricio Dayub,1990,The Amateur,1999
140,"An American Dream(1965),Norman Mailer",An American Dream(1966),An American Dream,Norman Mailer,1965,An American Dream,1966
141,"American Knees(1995),Shawn Wong",Americanese(2006),American Knees,Shawn Wong,1995,Americanese,2006
142,"American Psycho(1991),Bret Easton Ellis",American Psycho(2000),American Psycho,Bret Easton Ellis,1991,American Psycho,2000
143,"American Psycho(1991),Bret Easton Ellis",American Psycho 2: All-American Girl(2002)[N 4],American Psycho,Bret Easton Ellis,1991,American Psycho 2: All-American Girl,2002
144,"American Splendor(1976–2008),Harvey Pekar",American Splendor(2003),American Splendor,Harvey Pekar,1976–2008,American Splendor,2003
145,"An American Tragedy(1925),Theodore Dreiser",A Place in the Sun(1951),An American Tragedy,Theodore Dreiser,1925,A Place in the Sun,1951
146,"The Americanization of Emily(1959),William Bradford Huie",The Americanization of Emily(1964),The Americanization of Emily,William Bradford Huie,1959,The Americanization of Emily,1964
147,"Amerika(1927),Franz Kafka",Klassenverhältnisse(Class Relations) (1984),Amerika,Franz Kafka,1927,Klassenverhältnisse,1984
148,"Amerika(1927),Franz Kafka",Intervista(1987),Amerika,Franz Kafka,1927,Intervista,1987
149,"Amerika(1927),Franz Kafka",Amerika(1994),Amerika,Franz Kafka,1927,Amerika,1994
150,"Les amitiés particulières(This Special Friendship) (1943),Roger Peyrefitte",Les amitiés particulières(1964),Les amitiés particulières,Roger Peyrefitte,1943,Les amitiés particulières,1964
151,"The Amityville Horror(1977),Jay Anson",The Amityville Horror(1979),The Amityville Horror,Jay Anson,1977,The Amityville Horror,1979
152,"The Amityville Horror(1977),Jay Anson",The Amityville Horror(2005),The Amityville Horror,Jay Anson,1977,The Amityville Horror,2005
153,"Amos Judd(1895),John Ames Mitchell",The Young Rajah(1922),Amos Judd,John Ames Mitchell,1895,The Young Rajah,1922
154,"Amu(2005),Shonali Bose",Amu(2005),Amu,Shonali Bose,2005,Amu,2005
155,"Anatomy of a Murder(1958),John D. Voelker[N 5]",Anatomy of a Murder(1959),Anatomy of a Murder,John D. Voelker[N 5],1958,Anatomy of a Murder,1959
156,"An Ancient Tale: A Novel in Polish History(Polish:Stara baśń. Powieść z dziejów Polski) (1876),Józef Ignacy Kraszewski",An Ancient Tale: When the Sun Was a God(Polish:Stara baśń: Kiedy słońce było bogiem) (2003),An Ancient Tale: A Novel in Polish History,Józef Ignacy Kraszewski,1876,An Ancient Tale: When the Sun Was a God,2003
157,"And Now Tomorrow(1942),Rachel Field",And Now Tomorrow(1944),And Now Tomorrow,Rachel Field,1942,And Now Tomorrow,1944
158,"And Then There Were None(1939),Agatha Christie",And Then There Were None(1945),And Then There Were None,Agatha Christie,1939,And Then There Were None,1945
159,"And Then There Were None(1939),Agatha Christie",Ten Little Indians(1959)[N 1],And Then There Were None,Agatha Christie,1939,Ten Little Indians,1959
160,"And Then There Were None(1939),Agatha Christie",Gumnaam(1965),And Then There Were None,Agatha Christie,1939,Gumnaam,1965
161,"And Then There Were None(1939),Agatha Christie",Ten Little Indians(1965),And Then There Were None,Agatha Christie,1939,Ten Little Indians,1965
162,"And Then There Were None(1939),Agatha Christie",Zehn kleine Negerlein(1969)[N 1],And Then There Were None,Agatha Christie,1939,Zehn kleine Negerlein,1969
163,"And Then There Were None(1939),Agatha Christie",And Then There Were None(1974),And Then There Were None,Agatha Christie,1939,And Then There Were None,1974
164,"And Then There Were None(1939),Agatha Christie",Desyat Negrityat(1987),And Then There Were None,Agatha Christie,1939,Desyat Negrityat,1987
165,"And Then There Were None(1939),Agatha Christie",Ten Little Indians(1989),And Then There Were None,Agatha Christie,1939,Ten Little Indians,1989
166,"And Then There Were None(1939),Agatha Christie",Identity(2003),And Then There Were None,Agatha Christie,1939,Identity,2003
167,"The Anderson Tapes(1969),Lawrence Sanders",The Anderson Tapes(1971),The Anderson Tapes,Lawrence Sanders,1969,The Anderson Tapes,1971
168,"Andromeda: A Space-Age Tale(1957),Ivan Yefremov",The Andromeda Nebula(1967),Andromeda: A Space-Age Tale,Ivan Yefremov,1957,The Andromeda Nebula,1967
169,"The Andromeda Strain(1969),Michael Crichton",The Andromeda Strain(1971),The Andromeda Strain,Michael Crichton,1969,The Andromeda Strain,1971
