,title_book,author_book,year_book,title_film,year_film
44,The Day They Robbed the Bank of England,John Brophy,1959,The Day They Robbed the Bank of England,1960
45,Day with a Perfect Stranger,David Gregory,2006,The Sacketts,1979
46,The Daybreakers,Louis L'Amour,1960,The Sacketts,1979
47,Dead Calm, Charles F. Williams,1963,Dead Calm,1989
48,The Dead End,Ihsan Abdel Quddous,1955,The Barred Road,1958
49,The Dead Take No Bows,  Richard Bruke,1941,Dressed to Kill,1941
50,The Dead Zone,Stephen King,1979,The Dead Zone,1983
51,Deadline at Dawn,Cornell Woolrich[N 3],1944,Deadline at Dawn,1946
52,The Deadly Duo,Richard Jessup,1959,The Deadly Duo,1962
53,"Deadly, Unna?", Phillip Gwynne,1998,Australian Rules,2002
54,Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,Michael Crichtonand Douglas Crichton[N 4],1970,Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,1972
55,Dear John,Nicholas Sparks,2006,Dear John,2010
56,Death in Venice,Thomas Mann,1912,Death in Venice,1971
57,Death Notice, Zhou Haohui,2014,Death Notice,2023
58,Death of a Common Man, Desmond Holdridge,1946,The End of the River,1947
59,The Death of Arthur, SirThomas Malory,1485,Knights of the Round Table,1953
60,The Death of Arthur, SirThomas Malory,1485,Excalibur,1981
61,Death on the Nile,Agatha Christie,1937,Death on the Nile,1978
62,Death on the Nile,Agatha Christie,1937,Death on the Nile,2004
63,Death on the Nile,Agatha Christie,1937,Death on the Nile,2022
64,Death Sentence,Brian Garfield,1975,Death Sentence,2007
65,Death Wish,Brian Garfield,1972,Death Wish,1974
66,Death Wish,Brian Garfield,1972,Death Wish,2018
67,The Deceivers,John Masters,1952,The Deceivers,1988
68,December Boys,Michael Noonan,1963,December Boys,2007
69,The Deep,Peter Benchley,1976,The Deep,1977
70,The Deep End of the Ocean,Jacquelyn Mitchard,1996,The Deep End of the Ocean,1999
71,Deep Water,Patricia Highsmith,1957,Eaux profondes,1981
72,Deep Water,Patricia Highsmith,1957,Deep Water,2022
73,Deliverance,James Dickey,1970,Deliverance,1972
74,The Deluge,Henryk Sienkiewicz,1886,The Deluge,1974
75,Deluge,S. Fowler Wright,1928,Deluge,1933
76,Demon City Shinjuku,Hideyuki Kikuchi,1982,Demon City Shinjuku,1988
77,Demon Seed,Dean Koontz,1973,Demon Seed,1977
78,Demons,Fyodor Dostoyevsky,1872,The Possessed,1988
79,Derailed,James Siegel,2003,Derailed,2005
80,Desert Fury, Ramona Stewart,1946,Desert Fury,1947
81,Desert Gold,Zane Grey,1913,Desert Gold,1919
82,Desert Gold,Zane Grey,1913,Desert Gold,1926
83,Desert Gold,Zane Grey,1913,Desert Gold,1936
84,Desert Guns, Steve Frazee,1957,Gold of the Seven Saints,1961
85,Desert of the Heart,Jane Rule,1964,Desert Hearts,1985
86,The Desperate Hours,Joseph Hayes,1954,The Desperate Hours,1955
87,The Desperate Hours,Joseph Hayes,1954,Desperate Hours,1990
88,The Desperate Hours,Joseph Hayes,1954,36 Ghante,1974
89,Destry Rides Again,Max Brand,1930,Destry Rides Again,1932
90,Destry Rides Again,Max Brand,1930,Destry Rides Again,1939
91,Destry Rides Again,Max Brand,1930,Destry,1954
92,The Detective,Roderick Thorp,1966,The Detective,1968
93,Detective,Arthur Hailey,1997,Detective,2005
94,Detective Bureau 23,Haruhiko Oyabu,1962,Detective Bureau 2-3: Go to Hell Bastards!,1963
95,Detective Bureau 23,Haruhiko Oyabu,1962,Detective Bureau 2-3: A Man Weak to Money and Women,1963
96,Detective in the Bar,Naomi Azuma,1981,Detective in the Bar,2011
97,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1928
98,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1935
99,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1936
100,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1937
101,Devdas,Sarat Chandra Chattopadhyay,1917,Devadasu,1953
102,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1955
103,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1965
104,Devdas,Sarat Chandra Chattopadhyay,1917,Devadasu,1974
105,Devdas,Sarat Chandra Chattopadhyay,1917,Muqaddar Ka Sikandar,1978
106,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1979
107,Devdas,Sarat Chandra Chattopadhyay,1917,Prema Tarangalu,1980
108,Devdas,Sarat Chandra Chattopadhyay,1917,Amara Kaaviyam,1981
109,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,1982
110,Devdas,Sarat Chandra Chattopadhyay,1917,Devadas,1989
111,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,2002
112,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,2002
113,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,2004
114,Devdas,Sarat Chandra Chattopadhyay,1917,Dev.D,2009
115,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,2010
116,Devdas,Sarat Chandra Chattopadhyay,1917,Devdas,2013
117,Devdas,Sarat Chandra Chattopadhyay,1917,Devi,2017
118,Devdas,Sarat Chandra Chattopadhyay,1917,Daas Dev,2018
119,Devdas,Sarat Chandra Chattopadhyay,1917,Nayakara Na Debadas,2019
120,The Devil All the Time,Donald Ray Pollock,2011,The Devil All the Time,2020
121,The Devil in the Flesh,Raymond Radiguet,1923,Devil in the Flesh,1947
122,The Devil in the Flesh,Raymond Radiguet,1923,Devil in the Flesh,1986
123,The Devil Rides Out,Dennis Wheatley,1934,The Devil Rides Out,1967
124,The Devil Wears Prada,Lauren Weisberger,2003,The Devil Wears Prada,2006
125,The Devil's Advocate,Morris West,1954,The Devil's Advocate,1977
126,The Devil's Advocate,Andrew Neiderman,1990,The Devil's Advocate,1997
127,The Devil's Own,Norah Lofts,1966,The Witches,1966
128,The Devils of Loudun,Aldous Huxley,1952,The Devils,1971
129,The Devotion of Suspect X,Keigo Higashino,2005,Suspect X,2008
130,The Devotion of Suspect X,Keigo Higashino,2005,Perfect Number,2012
131,The Devotion of Suspect X,Keigo Higashino,2005,Kolaigaran,2019
132,The Devotion of Suspect X,Keigo Higashino,2005,Jaane Jaan,2023
133,Dharamputra,Acharya Chatursen,,Dharmputra,1961
134,Dharmasere,G. B. Joshi[N 5],1934,Dharmasere,1979
135,The Diamond Hunters,Wilbur Smith,1971,The Kingfisher Caper,1975
136,Diamonds Are Forever,Ian Fleming,1956,Diamonds Are Forever,1971
137,The Diary of a Country Priest,Georges Bernanos,1936,Diary of a Country Priest,1951
138,Diary of a Mad Old Man,Jun'ichirō Tanizaki,1961,Shishi no Gotoku,1962
139,Diary of a Mad Old Man,Jun'ichirō Tanizaki,1961,Diary of a Old Man,1987
140,The Dice of God, Hoffman Birney,1962,The Glory Guys,1965
141,The Dig,John Preston,2007,The Dig,2021
142,Diner,Yumeaki Hirayama,2009,Diner,2019
143,Dinner with a Perfect Stranger: An Invitation Worth Considering,David Gregory,2005,The Perfect Stranger,2005
144,Dinner with a Perfect Stranger: An Invitation Worth Considering,David Gregory,2005,Another Perfect Stranger,2007
145,Dinner with a Perfect Stranger: An Invitation Worth Considering,David Gregory,2005,The Perfect Gift,2009
146,The Dirty Dozen,E. M. Nathanson,1965,The Dirty Dozen,1967
147,Dirty Weekend,Helen Zahavi,1991,Dirty Weekend,1993
148,Disappearing Acts,Terry McMillan,1989,Disappearing Acts,2000
149,Disclosure,Michael Crichton,1994,Disclosure,1994
150,The Disorientated Man, Peter Saxon,1967,Scream and Scream Again,1970
151,Il disprezzo,Alberto Moravia,1954,Contempt,1963
152,A Distant Trumpet,Paul Horgan,1951,A Distant Trumpet,1964
153,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,2002
154,Le Divorce,Diane Johnson,1997,Le Divorce,2003
155,Do Androids Dream of Electric Sheep?,Philip K. Dick,1967,Blade Runner,1982
156,Do Androids Dream of Electric Sheep?,Philip K. Dick,1967,Blade Runner 2049,2017
157,Doctor,Richard Gordon,1952,Doctor in the House,1954
158,Doctor,Richard Gordon,1952,Doctor at Sea,1955
159,Doctor,Richard Gordon,1952,Doctor at Large,1957
160,Doctor,Richard Gordon,1952,Doctor in Love,1960
161,Doctor,Richard Gordon,1952,Doctor in Distress,1963
162,Doctor,Richard Gordon,1952,Doctor in Clover,1966
163,Doctor,Richard Gordon,1952,Doctor in Trouble,1970
164,Doctor Slaughter,Paul Theroux,1984,Half Moon Street,1986
165,Doctor Sleep,Stephen King,2013,Doctor Sleep,2019
166,Doctor Zhivago,Boris Pasternak,1957,Doctor Zhivago,1965
167,Dodsworth,Sinclair Lewis,1929,Dodsworth,1936
168,Does Not Give a Damn,Dan Ben-Amotz,1973,I Don't Give a Damn,1987
169,Dog Soldiers,Robert Stone,1974,Who'll Stop the Rain,1978
170,The Dogs of War,Frederick Forsyth,1974,The Dogs of War,1981
171,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1908
172,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1908
173,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1915
174,Don Quixote[N 7],Miguel de Cervantes,1605–1615,The Dream of Don Quixote,1915
175,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1923
176,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1926
177,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1933
178,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1933
179,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1947
180,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1955–1969
181,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1957
182,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Chisciotte and Sancio Panza,1968
183,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Man of La Mancha,1972
184,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quijote cabalga de nuevo,1973
185,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1973
186,Don Quixote[N 7],Miguel de Cervantes,1605–1615,The Amorous Adventures of Don Quixote and Sancho Panza,1976
187,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,1983
188,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote of La Mancha,1987
189,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,2000
190,Don Quixote[N 7],Miguel de Cervantes,1605–1615,"Don Quixote, Knight Errant",2002
191,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Donkey Xote,2007
192,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,2010
193,Don Quixote[N 7],Miguel de Cervantes,1605–1615,Don Quixote,2015
194,Don Quixote[N 7],Miguel de Cervantes,1605–1615,The Man Who Killed Don Quixote,2018
195,Donovan's Brain,Curt Siodmak,1942,The Lady and the Monster,1944
196,Donovan's Brain,Curt Siodmak,1942,Donovan's Brain,1953
197,Donovan's Brain,Curt Siodmak,1942,The Brain,1962
198,Don't Look and It Won't Hurt,Richard Peck,1971,Gas Food Lodging,1992
199,Don't Say a Word,Andrew Klavan,1991,Don't Say a Word,2001
200,Don't Tell Anyone,Jaime Bayly,1994,No se lo Digas a Nadie,1998
201,The Dork of Cork,Chet Raymo,1993,Frankie Starlight,1995
202,Dotonbori River,Teru Miyamoto,1981,Dotonbori River,1982
203,Double Indemnity,James M. Cain,1936,Double Indemnity,1944
204,Double Indemnity,James M. Cain,1936,Double Indemnity,1973
205,The Double Take,Roy Huggins,1946,I Love Trouble,1948
206,Down Will Come Baby, Gloria Murphy,1991,Down Will Come Baby,1999
207,Dracula,Bram Stoker,1897,Dracula's Death,1923
208,Dracula,Bram Stoker,1897,Nosferatu,1922
209,Dracula,Bram Stoker,1897,Dracula,1931
210,Dracula,Bram Stoker,1897,Dracula,1931
211,Dracula,Bram Stoker,1897,Dracula's Daughter,1936
212,Dracula,Bram Stoker,1897,Son of Dracula,1943
213,Dracula,Bram Stoker,1897,House of Dracula,1945
214,Dracula,Bram Stoker,1897,Dracula,1958
215,Dracula,Bram Stoker,1897,The Return of Dracula,1958
216,Dracula,Bram Stoker,1897,The Brides of Dracula,1960
217,Dracula,Bram Stoker,1897,Dracula: Prince of Darkness,1966
218,Dracula,Bram Stoker,1897,Billy the Kid Versus Dracula,1966
219,Dracula,Bram Stoker,1897,Dracula Has Risen from the Grave,1968
220,Dracula,Bram Stoker,1897,Dracula ,1969
221,Dracula,Bram Stoker,1897,Dracula and the Boys,1969
222,Dracula,Bram Stoker,1897,Blood of Dracula's Castle,1969
223,Dracula,Bram Stoker,1897,Count Dracula,1970
224,Dracula,Bram Stoker,1897,Taste the Blood of Dracula,1970
225,Dracula,Bram Stoker,1897,Scars of Dracula,1970
226,Dracula,Bram Stoker,1897,Count Dracula,1971
227,Dracula,Bram Stoker,1897,Dracula vs. Frankenstein,1971
228,Dracula,Bram Stoker,1897,Blacula,1972
229,Dracula,Bram Stoker,1897,Dracula A.D. 1972,1972
230,Dracula,Bram Stoker,1897,Drácula contra Frankenstein,1972
231,Dracula,Bram Stoker,1897,Count Dracula's Great Love,1973
232,Dracula,Bram Stoker,1897,Scream Blacula Scream,1973
233,Dracula,Bram Stoker,1897,The Satanic Rites of Dracula,1973
234,Dracula,Bram Stoker,1897,Bram Stoker's Dracula,1974
235,Dracula,Bram Stoker,1897,Blood for Dracula,1974
236,Dracula,Bram Stoker,1897,The Legend of the 7 Golden Vampires,1974
237,Dracula,Bram Stoker,1897,Vampira,1974
238,Dracula,Bram Stoker,1897,Dracula and Son,1976
239,Dracula,Bram Stoker,1897,Lady Dracula,1977
240,Dracula,Bram Stoker,1897,Dracula's Dog,1977
241,Dracula,Bram Stoker,1897,Count Dracula,1977
242,Dracula,Bram Stoker,1897,Dracula Sucks,1978
243,Dracula,Bram Stoker,1897,Nosferatu the Vampyre,1979
244,Dracula,Bram Stoker,1897,Love at First Bite,1979
245,Dracula,Bram Stoker,1897,Dracula,1979
246,Dracula,Bram Stoker,1897,Fracchia contro Dracula,1985
247,Dracula,Bram Stoker,1897,Vampire in Venice,1988
248,Dracula,Bram Stoker,1897,Bram Stoker's Dracula,1992
249,Dracula,Bram Stoker,1897,Dracula Rising,1993
250,Dracula,Bram Stoker,1897,Dracula: Dead and Loving It,1995
251,Dracula,Bram Stoker,1897,Dracula 2000,2000
252,Dracula,Bram Stoker,1897,Dark Prince: The True Story of Dracula,2000
253,Dracula,Bram Stoker,1897,Dracula: Pages from a Virgin's Diary,2002
254,Dracula,Bram Stoker,1897,Dracula II: Ascension,2003
255,Dracula,Bram Stoker,1897,Van Helsing,2004
256,Dracula,Bram Stoker,1897,Dracula 3000,2004
257,Dracula,Bram Stoker,1897,Dracula III: Legacy,2005
258,Dracula,Bram Stoker,1897,Bram Stoker's Dracula's Curse,2006
259,Dracula,Bram Stoker,1897,Dracula,2006
260,Dracula,Bram Stoker,1897,Dracula 3D,2012
261,Dracula,Bram Stoker,1897,Dracula Reborn,2012
262,Dracula,Bram Stoker,1897,Dracula 2012,2013
263,Dracula,Bram Stoker,1897,Dracula: The Dark Prince,2013
264,Dracula,Bram Stoker,1897,Dracula Untold,2014
265,Dracula,Bram Stoker,1897,Dracula: The Original Living Vampire,2022
266,Dracula,Bram Stoker,1897,Renfield,2023
267,Dracula,Bram Stoker,1897,The Last Voyage of the Demeter,2023
268,Dracula,Bram Stoker,1897,Nosferatu,2024
269,The Dragon and the George,Gordon R. Dickson,1976,The Flight of Dragons,1982
270,Dragon Seed,Pearl S. Buck,1942,Dragon Seed,1944
271,Dragons of Autumn Twilight,Margaret WeisandTracy Hickman,1984,Dragonlance: Dragons of Autumn Twilight,2008
272,Dream Days,Kenneth Grahame,1898,The Reluctant Dragon,1941
273,The Dream Master,Roger Zelazny,1966,Dreamscape,1984
274,Dreamcatcher,Stephen King,2001,Dreamcatcher,2003
275,The Drift Fence,Zane Grey,1933,Drift Fence,1936
276,Dr. No,Ian Fleming,1958,Dr. No,1962
277,The Drowning Pool,Ross Macdonald,1950,The Drowning Pool,1975
278,Drums Along the Mohawk,Walter D. Edmonds,1936,Drums Along the Mohawk,1939
279,The Drums of Jeopardy,Harold MacGrath,1920,The Drums of Jeopardy,1923
280,The Drums of Jeopardy,Harold MacGrath,1920,The Drums of Jeopardy,1931
281,The Dude Ranger,Zane Grey,1931,The Dude Ranger,1934
282,The Dude Ranger,Zane Grey,1931,"Roll Along, Cowboy",1937
283,Duel in the Sun,Niven Busch,1941,Duel in the Sun,1946
284,Dune,Frank Herbert,1965,Dune,1984
285,Dune,Frank Herbert,1965,Dune: Part One,2021
286,Dune,Frank Herbert,1965,Dune: Part Two,2024
287,The Dying Animal,Philip Roth,2001,Elegy,2008
288,Dying Young,Marti Leimbach,1990,Dying Young,1991
290,The Eagle Has Landed,Jack Higgins,1975,The Eagle Has Landed,1976
291,The Eagle of the Ninth,Rosemary Sutcliff,1954,The Eagle,2011
292,The Earthquake Bird,Susanna Jones,2001,Earthquake Bird,2019
293,East of Eden,John Steinbeck,1952,East of Eden,1955
294,Eaters of the Dead,Michael Crichton,1976,The 13th Warrior,1999
295,Eddie and the Cruisers,P. F. Kluge,1980,Eddie and the Cruisers,1983
296,The Egyptian,Mika Waltari,1945,The Egyptian,1954
297,Election,Tom Perrotta,1998,Election,1999
298,Elephant Walk,Digby George Gerahty(as Robert Standish),1948,Elephant Walk,1954
299,Elles n'oublient jamais,Christopher Frank,1993,Elles n'oublient jamais,1994
300,Elmer Gantry,Sinclair Lewis,1927,Elmer Gantry,1960
301,Elsk meg i morgen,Ingvar Ambjørnsen,1999,Elsk meg i morgen,2005
302,The Elusive Pimpernel,Baroness Orczy,1908,The Elusive Pimpernel,1919
303,The Elusive Pimpernel,Baroness Orczy,1908,The Elusive Pimpernel,1950
304,Emma,Jane Austen,1815,Emma,1996
305,Emma,Jane Austen,1815,Emma,1996
306,Emma,Jane Austen,1815,Aisha,2010
307,Emma,Jane Austen,1815,Emma.,2020
308,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,1931
309,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,1935
310,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,1954
311,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,1964
312,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,2001
313,Emotional Arithmetic,Matt Cohen,1990,Emotional Arithmetic,2008
314,Empire of the Sun,J. G. Ballard,1984,Empire of the Sun,1987
315,The Enchanted April,Elizabeth von Arnim,1922,Enchanted April,1935
316,The Enchanted April,Elizabeth von Arnim,1922,Enchanted April,1992
317,The Enchanted Voyage,Robert Nathan,1936,Wake Up and Dream,1946
318,The End of the Affair,Graham Greene,1951,The End of the Affair,1955
319,The End of the Affair,Graham Greene,1951,The End of the Affair,1999
320,Endless Love,Scott Spencer,1979,Endless Love,1981
321,Endless Love,Scott Spencer,1979,Endless Love,2014
322,Enduring Love,Ian McEwan,1997,Enduring Love,2004
323,The Enemies of Women,Vicente Blasco Ibáñez,1922,Enemies of Women,1923
324,The Enemy Below,D. A. Rayner,1956,The Enemy Below,1957
325,The English Patient,Michael Ondaatje,1992,The English Patient,1996
326,Enigma,Robert Harris,1995,Enigma,2001
327,The Entity,Frank De Felitta,1978,The Entity,1982
328,Eragon,Christopher Paolini,2003,Eragon,2006
329,Escape,Grace Zaring Stone,1939,Escape,1940
330,Escape to Witch Mountain,Alexander Key,1968,Escape to Witch Mountain,1975
331,Escape to Witch Mountain,Alexander Key,1968,Return from Witch Mountain,1978
332,Escape to Witch Mountain,Alexander Key,1968,Beyond Witch Mountain,1982
333,Escape to Witch Mountain,Alexander Key,1968,Escape to Witch Mountain,1995
334,Escape to Witch Mountain,Alexander Key,1968,Race to Witch Mountain,2009
335,The Evening Star,Larry McMurtry,1992,The Evening Star,1996
336,Everybody's All-American,Frank Deford,1981,Everybody's All-American,1988
337,Everything Is Illuminated,Jonathan Safran Foer,2002,Everything Is Illuminated,2005
338,Evil Angels,Pascal Bruckner,1981,Bitter Moon,1992
339,"Evil Come, Evil Go",Whit Masterson,1961,The Yellow Canary,1963
340,Evil Under the Sun,Agatha Christie,1981,Evil Under the Sun,1982
341,Except for Me and Thee,Jessamyn West,1955,Friendly Persuasion,1975
342,The Executioners,John D. MacDonald,1957,Cape Fear,1962
343,The Executioners,John D. MacDonald,1957,Cape Fear,1991
344,Executive Suite,Cameron Hawley,1952,Executive Suite,1954
345,Exit to Eden,Anne Rice(as Anne Rampling),1984,Exit To Eden,1994
346,Exit Wounds, John Westermann,1990,Exit Wounds,2001
347,Exodus,Leon Uris,1958,Exodus,1960
348,The Exorcist,William Peter Blatty,1971,The Exorcist,1973
349,The Exorcist,William Peter Blatty,1971,Exorcist II: The Heretic,1977
350,The Exorcist,William Peter Blatty,1971,The Exorcist III,1990
351,The Exorcist,William Peter Blatty,1971,Exorcist: The Beginning,2004
352,The Exorcist,William Peter Blatty,1971,Dominion: Prequel to the Exorcist,2005
353,The Exorcist,William Peter Blatty,1971,The Exorcist: Believer,2023
354,Experiment Perilous, Margaret Carpenter,1943,Experiment Perilous,1944
355,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,2012
356,The Eye of the Beholder,Marc Behm,1980,Deadly Circuit,1983
357,The Eye of the Beholder,Marc Behm,1980,Eye of the Beholder,1999
358,Eye of the Needle,Ken Follett,1978,Eye of the Needle,1981
359,Eye of the Needle,Ken Follett,1978,Fanaa,2006
360,Eyes Without a Face,Jean Redon,1959,Eyes Without a Face,1960
362,Fahrenheit 451,Ray Bradbury,1953,Fahrenheit 451,1966
363,Fahrenheit 451,Ray Bradbury,1953,Fahrenheit 451,2018
364,Fail-Safe,Eugene BurdickandHarvey Wheeler,1962,Fail Safe,1964
365,Fail-Safe,Eugene BurdickandHarvey Wheeler,1962,Fail Safe,2000
366,The Fair Bride,Bruce Marshall,1953,The Angel Wore Red,1960
367,The Fake Fusé: Satomi Hakkenden,Kazuki Sakuraba,2010,Fusé: Memoirs of the Hunter Girl,2012
368,The Fall of a Nation, Jr.,1916,The Fall of a Nation,1916
369,Falling Angel,William Hjortsberg,1978,Angel Heart,1987
370,False Witness,Dorothy Uhnak,1981,False Witness,1989
371,Family Business,Vincent Patrick,1985,Family Business,1989
372,The Fan,Bob Randall,1977,The Fan,1981
373,The Fan,Peter Abrahams,1995,The Fan,1996
374,Far from the Madding Crowd,Thomas Hardy,1874,Far from the Madding Crowd,1915
375,Far from the Madding Crowd,Thomas Hardy,1874,Far from the Madding Crowd,1967
376,Far from the Madding Crowd,Thomas Hardy,1874,Far from the Madding Crowd,1998
377,Far from the Madding Crowd,Thomas Hardy,1874,Far from the Madding Crowd,2015
378,Farewell My Concubine,Lilian Lee,1991,Farewell My Concubine,1993
379,A Farewell to Arms,Ernest Hemingway,1929,A Farewell to Arms,1932
380,A Farewell to Arms,Ernest Hemingway,1929,A Farewell to Arms,1957
381,Farewell to the King,Pierre Schoendoerffer,1969,Farewell to the King,1989
382,Farewells,Stanisław Dygat,1948,Farewells,1958
383,Fate Is the Hunter,Ernest K. Gann,1961,Face Is the Hunter,1964
384,Fatelessness,Imre Kertész,1975,Fateless,2005
385,Father Malachy's Miracle,Bruce Marshall,1931,The Miracle of Father Malachia,1961
386,Father of Frankenstein,[1]Christopher Bram,1995,Gods and Monsters,1998
387,Father of the Bride,Edward Streeter,1949,Father of the Bride,1950
388,Father of the Bride,Edward Streeter,1949,Father's Little Dividend,1951
389,Father of the Bride,Edward Streeter,1949,Father of the Bride,1991
390,Father of the Bride,Edward Streeter,1949,Father of the Bride Part II,1995
391,Father of the Bride,Edward Streeter,1949,Father of the Bride,2022
392,Father Sky, Devery Freeman,1979,Taps,1981
393,Fear and Loathing in Las Vegas,Hunter S. Thompson,1971,Fear and Loathing in Las Vegas,1998
394,Fear and Trembling,Amélie Nothomb,1999,Fear and Trembling,2003
395,The Feather Men,Sir Ranulph Fiennes,1991,Killer Elite,2011
396,Felidae,Akif Pirinçci,1989,Felidae,1994
397,Femmes de personnes,Christopher Frank,1983,Femmes de personne,1984
398,Fever Pitch,Nick Hornby,1992,Fever Pitch,1997
399,Fever Pitch,Nick Hornby,1992,Fever Pitch,2005
400,Fiddler's Green,Ernest K. Gann,1950,The Raging Tide,1951
