wikipedia_id,MovieName,MovieYear,MovieBoxOffice,MovieRuntime,MovieLanguage,MovieCountries,MovieGenre,BookAuthor,BookTitle,BookStartYear,BookEndYear,BookDescription,BookRating,BookRatingNb,BookLanguage,MovieRating,MovieRatingNb
5954041,The Fairylogue and Radio-Plays,1908,,120.0,English Language,United States of America,"Silent film, Black-and-white",L. Frank Baum,The Wonderful Wizard of Oz,1900,1900,,3.99,348112,,5.2,78
19236804,Cleopatra,1912,,88.0,English Language,United States of America,"History, Silent film, Drama",Margaret George,The Memoirs of Cleopatra,1997,1997,,4.18,17986,eng,5.1,636
1090641,Atlantis,1913,,113.0,"English Language, Danish Language",Denmark,"Silent film, Drama, Indie, Black-and-white",Gerhart Hauptmann,Atlantis,1912,1912,,,,,6.5,502
22521524,Ivanhoe,1913,,,"Silent film, English Language",United States of America,"Swashbuckler films, Silent film, Drama, Adventure",Sir Walter Scott,Ivanhoe,1820,1820,,,,,5.6,98
18979350,Cinderella,1914,,52.0,"Silent film, English Language",United States of America,"Silent film, Fantasy, Black-and-white",Charles Perrault,Cinderella ,1697,1697,The former Well Loved Tales series have been redesigned with brighter inks and coated paper to enhance the appeal of these fairy tales to young children. They are all intended for one level of readability and are considered ideal bedtime stories. This is the story of Cinderella.,3.97,1937,eng,6.0,1100
5384890,"His Majesty, the Scarecrow of Oz",1914,,60.0,English Language,United States of America,"Silent film, Adventure, Children's/Family, Black-and-white, Fantasy, Children's Fantasy, Drama, Family Film, Comedy, Family-Oriented Adventure, Indie",L. Frank Baum,The Wonderful Wizard of Oz,1900,1900,,3.99,348112,,5.3,540
32704793,The Jungle,1914,,,"Silent film, English Language",,Silent film,Upton Sinclair,The Jungle,1906,1906,,3.74,126085,,6.8,70
35873083,The Nightingale,1914,,,English Language,United States of America,"Silent film, Drama",Hans Christian Andersen,The Nightingale ,1943,1943,"""This exquisitely designed and illustrated retelling is a lush interpretation <br />of Andersen's tale."" -- THE HORN BOOK <br />A National Council of Teachers of English <br />Notable Children's Book in the Language Arts <br />""Elaborate, harmonious watercolors pay homage to the flat style of Chinese brush paintings with iconic fidelity. . . . Mitchell's language is light and melodic."" -- PUBLISHERS WEEKLY (starred review) <br />""Mitchell's version stays close to the original, with an added punch of satire. . . . Even if there are already several editions of the story on the shelf, consider this for its fresh, lively language and for Ibatoulline's stunning paintings."" -- BOOKLIST",3.99,2364,eng,6.8,27
7280650,The Patchwork Girl of Oz,1914,,81.0,"Silent film, English Language",United States of America,"Silent film, Adventure, Children's/Family, Black-and-white, Fantasy, Children's Fantasy, Indie",L. Frank Baum,The Wonderful Wizard of Oz,1900,1900,,3.99,348112,,5.4,589
5679888,The Spoilers,1914,,110.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie",Rex Beach,The Spoilers,1906,1906,,,,,5.9,113
8949437,The Virginian,1914,,50.0,"Silent film, English Language",United States of America,"Silent film, Western, Indie, Black-and-white",Owen Wister,The Virginian: A Horseman of the Plains,1902,1902,,3.9,7430,,5.6,264
15062787,"The World, the Flesh and the Devil",1914,,50.0,English Language,United Kingdom,"Silent film, Indie",M. P. Shiel,The Purple Cloud,1901,1901,,,,,6.7,30
23669602,Alice in Wonderland,1915,,52.0,English Language,United States of America,"Silent film, Black-and-white",Lewis Carroll,Alice's Adventures in Wonderland,1865,1865,,4.02,214824,,6.1,813
18163650,Anna Karenina,1915,,,"Silent film, English Language",United States of America,"Silent film, Drama, Black-and-white",Leo Tolstoy,Anna Karenina,1873-1887,1873-1887,,4.05,631550,eng,4.0,24
3333,The Birth of a Nation,1915,50000000.0,190.0,"Silent film, English Language",United States of America,"Silent film, Indie, Costume drama, Epic, Black-and-white, Drama, War film","Thomas Dixon, Jr.",The Clansman: A Historical Romance of the Ku Klux Klan,1905,1905,,,,,6.1,26959
8068547,Camille,1915,,,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white","Alexandre Dumas, fils",The Lady of the Camellias,1848,1848,,,,,6.5,23
24477247,The Coward,1915,,86.0,"Silent film, English Language",,Silent film,Arthur Stringer,The Coward ,1920,1920,,,,,6.0,338
14404921,Four Feathers,1915,,,English Language,United States of America,Drama,A. E. W. Mason,The Four Feathers,1902,1902,"Just before sailing off to war in the Sudan, British guardsman Harry Feversham quits his regiment. He immediately receives four white feathers—symbols of cowardice—one each from his three best friends and his fiancée. To disprove this grave dishonor, Harry dons an Arabian disguise and leaves for the Sudan, where he anonymously comes to the aid of his three friends, saving each of their lives.<br /><br />Having proved his bravery, Harry returns to England, hoping to regain the love and respect of his fiancée. This suspenseful tale movingly depicts a distinctive code of honor that was deeply valued and strongly promoted by the British during the height of their imperial power.<br />",3.91,4516,eng,7.1,44
32556541,McTeague,1916,,,,,Silent film,Frank Norris,McTeague,1899,1899,,3.68,5410,eng,6.6,22
5813580,"20,000 Leagues Under the Sea",1916,,101.0,English Language,United States of America,"Science Fiction, Adventure, Silent film, Black-and-white, Action/Adventure, Drama, Action",Jules Verne,Twenty Thousand Leagues Under the Seas,1870,1870,,4.5,6,,6.1,2065
24881386,The Fall of a Nation,1916,,,,United States of America,Silent film,"Thomas Dixon, Jr.",The Clansman: A Historical Romance of the Ku Klux Klan,1905,1905,,,,,5.2,108
34998463,Oliver Twist,1916,,50.0,English Language,United States of America,"Silent film, Drama",Charles Dickens,Oliver Twist,1837-1839,1837-1839,,3.87,304540,,6.9,38
12030500,Sherlock Holmes,1916,,,English Language,United States of America,"Short Film, Silent film, Detective fiction, Indie, Black-and-white",Arthur Conan Doyle,The Adventures of Sherlock Holmes,1891-1892,1891-1892,,4.31,229855,eng,6.2,492
2826225,Snow White,1916,,63.0,"Silent film, English Language",United States of America,"Silent film, Fantasy, Indie, Black-and-white",Brothers Grimm,Snow White ,1812,1812,,,,,6.3,460
13479445,The Three Godfathers,1916,,,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white, Short Film, Western, Drama",Peter B. Kyne,The Three Godfathers,1913,1913,,4.16,32,,7.3,56
8075874,Camille,1917,,60.0,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white","Alexandre Dumas, fils",The Lady of the Camellias,1848,1848,,,,,6.2,24
5035314,Cleopatra,1917,,125.0,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white",Margaret George,The Memoirs of Cleopatra,1997,1997,,4.18,17986,eng,6.6,404
17852005,The Darling of Paris,1917,,,"Silent film, English Language",United States of America,"Drama, Silent film, Horror, Romance Film, Black-and-white",Victor Hugo,The Hunchback of Notre-Dame,1482,1482,,4.0,162555,eng,5.0,22
15296595,Great Expectations,1917,,50.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white",Charles Dickens,Great Expectations,1860-1861,1860-1861,,3.77,622146,,6.5,40
35948532,Kidnapped,1917,,,,United States of America,"Silent film, Adventure",Robert Louis Stevenson,Kidnapped,1886,1886,,3.79,56495,,6.8,60
3344145,Rebecca of Sunnybrook Farm,1917,,78.0,English Language,United States of America,"Silent film, Indie, Comedy-drama, Black-and-white, Drama, Comedy",Kate Douglas Wiggin,Rebecca of Sunnybrook Farm,1903,1903,,3.87,32599,,6.3,903
34312501,She,1917,,,English Language,United States of America,"Drama, Silent film, Fantasy",H. Rider Haggard,She: A History of Adventure,1886,1886,,3.58,10671,eng,6.9,26
31880057,Tom Jones,1917,,,English Language,United Kingdom,Comedy film,Henry Fielding,"The History of Tom Jones, a Foundling",1749,1749,,3.74,30845,eng,8.8,11
12248886,Tom Sawyer,1917,,,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white",Mark Twain,The Adventures of Tom Sawyer,1876,1876,,3.91,725859,,6.1,200
36051034,Anna Karenina,1918,,53.0,"Silent film, Hungarian language",Hungary,"Silent film, Drama",Leo Tolstoy,Anna Karenina,1873-1887,1873-1887,,4.05,631550,eng,5.3,41
4597981,The Blue Bird,1918,,81.0,"Silent film, English Language",United States of America,"Drama, Silent film, Fantasy, Indie, Black-and-white",Georgette Leblanc,The Blue Bird for Children,1913,1913,,,,,6.9,1055
14034915,The Romance of Tarzan,1918,,96.0,English Language,United States of America,"Jungle Film, Adventure, Black-and-white",Edgar Rice Burroughs,Tarzan,1912-1965,1912-1965,,,,,6.4,62
4791224,Tarzan of the Apes,1918,,73.0,English Language,United States of America,"Silent film, Action, Indie, Black-and-white, Adventure",Edgar Rice Burroughs,Tarzan,1912-1965,1912-1965,,,,,5.8,958
3344052,Anne of Green Gables,1919,,,Silent film,United States of America,"Silent film, Indie, Black-and-white",Lucy Maud Montgomery,Anne of Avonlea,1909,1909,,,,,7.0,84
2758234,Bolshevism on Trial,1919,,70.0,"Silent film, English Language",United States of America,"Silent film, Drama, Indie, Black-and-white, Political drama","Thomas Dixon, Jr.",Comrades: A Story of Social Adventure in California,1909,1909,,,,,5.3,64
206737,Deliverance,1919,,90.0,,United States of America,"Silent film, Drama, Biographical film, Indie",James Dickey,Deliverance,1970,1970,"The setting is the Georgia wilderness, where the state's most remote white-water river awaits. In the thundering froth of that river, in its echoing stone canyons, four men on a canoe trip discover a freedom and exhilaration beyond compare. And then, in a moment of horror, the adventure turns into a struggle for survival as one man becomes a human hunter who is offered his own harrowing deliverance.",3.88,29664,,6.7,130
13503842,Marked Men,1919,,50.0,"Silent film, English Language",United States of America,"Silent film, Western, Black-and-white, Indie",Peter B. Kyne,The Three Godfathers,1913,1913,,4.16,32,,4.7,81
13503455,The Outcasts of Poker Flat,1919,,60.0,"Silent film, English Language",United States of America,"Silent film, Western, Black-and-white, Indie",Bret Harte,The Outcasts of Poker Flat ,1869,1869,"Upon waking from their overnight camp in the mountains, four exiles from Poker Flat and a young couple traveling to the town face a snowstorm with limited provisions.",3.5,757,,4.2,73
32583210,The Roaring Road,1919,,58.0,English Language,United States of America,"Silent film, Drama, Comedy", Byron Morgan,Junkpile Sweepstakes ,1918,1918,,,,,5.8,669
24506220,Sahara,1919,,70.0,"Silent film, English Language",,Silent film,Clive Cussler,Sahara,1992,1992,,3.96,54303,eng,4.4,20
19137536,Victory,1919,,122.0,"Silent film, English Language",United States of America,"Silent film, Drama, Romance Film, Black-and-white",Joseph Conrad,Victory,1915,1915,"In <i>Victory</i> (1915), Conrad returns to the Malay Archipelago, to the setting of his first mature novel, <i>Lord Jim</i>, and in Axel Heyst he creates a hero who is in many ways similar to Jim, a noble altruist destroyed by his ideals. It is a story of action and high adventure coexisting with an exhaustive study of the psychology of a man who's philosophy of life is summed up in the dying words of his father: ""Look on -- make no sound.""",3.85,3199,eng,6.4,476
34459451,Bleak House,1920,,,English Language,United Kingdom,"Crime Fiction, Silent film, Drama",Charles Dickens,Bleak House,1852-1853,1852-1853,,4.01,91681,eng,6.9,22
7883633,Dr. Jekyll and Mr. Hyde,1920,,40.0,"Silent film, English Language",United States of America,"Silent film, Horror, Indie, Science Fiction, Black-and-white, Short Film",Robert Louis Stevenson,Strange Case of Dr Jekyll and Mr Hyde,1886,1886,"This dark psychological fantasy is more than a moral tale. It is also a product of its time, drawing on contemporary theories of class, evolution and criminality and the secret lives behind Victorian propriety, to create a unique form of urban Gothic.",3.82,378377,eng,6.9,6256
33654948,The Elusive Pimpernel,1919,,,,United Kingdom,"Silent film, Drama, Adventure",Baroness Orczy,The Elusive Pimpernel,1908,1908,,,,,1.6,14
